customerId,recommendedProducts
0,2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72|2|1|15|21|8|17|139|7|47|72
1,1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41|1|14|21|11|5|15|39|33|8|41
2,11|2|1|5|61|15|21|9|82|0
3,2|1|8|46|51|16|20|15|38|42|2|1|8|46|51|16|20|15|38|42|2|1|8|46|51|16|20|15|38|42|2|1|8|46|51|16|20|15|38|42|2|1|8|46|51|16|20|15|38|42|2|1|8|46|51|16|20|15|38|42|2|1|8|46|51|16|20|15|38|42
4,2|1|14|13|8|38|5|61|20|36|2|1|14|13|8|38|5|61|20|36|2|1|14|13|8|38|5|61|20|36|2|1|14|13|8|38|5|61|20|36|2|1|14|13|8|38|5|61|20|36|2|1|14|13|8|38|5|61|20|36
5,2|1|8|0|5|272|38|162|48|72|2|1|8|0|5|272|38|162|48|72|2|1|8|0|5|272|38|162|48|72|2|1|8|0|5|272|38|162|48|72|2|1|8|0|5|272|38|162|48|72|2|1|8|0|5|272|38|162|48|72|2|1|8|0|5|272|38|162|48|72
6,2|16|8|159|5|38|15|1|25|51|2|16|8|159|5|38|15|1|25|51|2|16|8|159|5|38|15|1|25|51|2|16|8|159|5|38|15|1|25|51
7,47|2|20|64|55|1|16|8|14|38|47|2|20|64|55|1|16|8|14|38
8,2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20|2|38|132|1|194|5|15|82|167|20
9,2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33|2|21|5|13|19|20|8|12|31|33
10,8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12|8|1|21|38|48|15|20|192|5|12
11,2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0|2|15|61|8|44|38|148|5|21|0
12,82|44|2|145|79|94|8|194|1|63|82|44|2|145|79|94|8|194|1|63
13,48|79|36|194|2|21|1|166|15|5|48|79|36|194|2|21|1|166|15|5|48|79|36|194|2|21|1|166|15|5|48|79|36|194|2|21|1|166|15|5
14,5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59|5|21|8|0|9|12|16|47|135|59
15,2|14|162|152|21|36|1|105|136|8|2|14|162|152|21|36|1|105|136|8
16,21|47|1|8|15|17|61|3|20|38|21|47|1|8|15|17|61|3|20|38|21|47|1|8|15|17|61|3|20|38|21|47|1|8|15|17|61|3|20|38|21|47|1|8|15|17|61|3|20|38
17,190|2|1|38|21|20|14|8|5|33|190|2|1|38|21|20|14|8|5|33|190|2|1|38|21|20|14|8|5|33|190|2|1|38|21|20|14|8|5|33|190|2|1|38|21|20|14|8|5|33|190|2|1|38|21|20|14|8|5|33|190|2|1|38|21|20|14|8|5|33|190|2|1|38|21|20|14|8|5|33
18,47|20|162|2|172|44|64|287|206|17
19,1|38|79|2|36|21|20|0|194|5|1|38|79|2|36|21|20|0|194|5|1|38|79|2|36|21|20|0|194|5|1|38|79|2|36|21|20|0|194|5|1|38|79|2|36|21|20|0|194|5|1|38|79|2|36|21|20|0|194|5
20,25|2|1|135|9|21|5|172|166|89|25|2|1|135|9|21|5|172|166|89|25|2|1|135|9|21|5|172|166|89|25|2|1|135|9|21|5|172|166|89|25|2|1|135|9|21|5|172|166|89
21,48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144|48|2|1|38|36|93|9|79|194|144
